Row_no	Genome	Length	N_contigs	N50	GC_content	Completeness	Contamination	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	Animal	Isolation_source	City	CheckM_quality	GUNC_pass	Species
796	MGYG000206024	2518482	98	36530	60.61	94.63	0.67	GUT_GENOME252891	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746737	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
798	MGYG000206458	2698017	290	12569	58.25	94.41	2.87	GUT_GENOME177796	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS259461	SRP008047	China	Asia	Human	gut	NA	High	yes	sp000432135
799	MGYG000207007	2370476	126	33965	58.98	92.83	1.34	GUT_GENOME010262	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS554250	ERP007090	Sweden	Europe	Human	gut	NA	High	yes	sp000432135
802	MGYG000207285	2662735	163	28822	58.32	94.63	2.01	GUT_GENOME175430	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1158766	SRP066053	USA	North America	Human	gut	NA	High	yes	sp000432135
803	MGYG000207460	2232838	51	73081	58.93	93.06	1.36	GUT_GENOME026609	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS1444619	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp900548625
806	MGYG000207980	2612391	278	16111	58.83	92.51	4.05	GUT_GENOME088779	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS608551	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp000432135
807	MGYG000208162	3078268	44	143961	55.74	94.63	3.36	GUT_GENOME047640	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS1647289	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp900545925
808	MGYG000208304	3041383	204	24685	57.49	92.21	1.68	GUT_GENOME262312	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
809	MGYG000208953	2219736	327	9338	61.47	91.01	3.98	GUT_GENOME254684	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS746849	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp002404795
810	MGYG000209057	2283068	120	32370	57.08	93.81	3.02	GUT_GENOME043559	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS1076041	ERP014480	Denmark	Europe	Human	gut	NA	High	yes	sp003516765
811	MGYG000209190	2663774	99	47221	60.41	94.63	0.67	GUT_GENOME093579	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS608491	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp002404795
812	MGYG000209199	2256681	163	21013	61.3	90.99	1.34	GUT_GENOME014930	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS476104	SRP029441	Fiji	Oceania	Human	gut	NA	High	yes	sp002404795
813	MGYG000209381	1952782	110	25323	60.5	95.3	2.24	GUT_GENOME122644	MGYG000002034	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900553545	ERS1138817	ERP015450	China	Asia	Human	gut	NA	High	yes	sp900553545
814	MGYG000209596	3031245	192	24135	57.76	91.43	4.03	GUT_GENOME048564	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1647300	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp000432135
815	MGYG000209614	2726265	88	42154	58.26	93.29	1.68	GUT_GENOME040380	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066697	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
819	MGYG000210713	2683705	37	167212	58.04	91.28	1.34	GUT_GENOME153572	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS475119	ERP005860	China	Asia	Human	gut	NA	High	yes	sp000432135
821	MGYG000211282	2624143	170	23491	58.18	91.61	2.01	GUT_GENOME152725	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS295021	SRP008047	China	Asia	Human	gut	NA	High	yes	sp000432135
823	MGYG000212055	3188901	326	15854	55.7	90.6	1.68	GUT_GENOME116043	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS396333	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
829	MGYG000213288	2289733	207	16159	61.52	95.97	2.35	GUT_GENOME158413	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS634931	ERP009131	Canada	North America	Human	gut	NA	High	yes	sp002404795
831	MGYG000213666	2291342	359	8231	56.83	90.88	2.68	GUT_GENOME092362	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS608503	ERP008729	Austria	Europe	Human	gut	NA	High	yes	sp003516765
832	MGYG000213876	2516157	65	62444	56.4	94.63	1.34	GUT_GENOME097334	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SRS584759	SRP040765	USA	North America	Human	gut	NA	High	yes	sp003516765
833	MGYG000213990	2274501	246	13420	61.95	91.88	1.68	GUT_GENOME022759	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444493	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
834	MGYG000214715	2830875	303	13968	58	92.62	2.68	GUT_GENOME262289	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
835	MGYG000215062	3412420	198	26780	55.51	95.3	1.34	GUT_GENOME255987	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746778	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
837	MGYG000215350	2887078	103	50765	58.09	94.63	2.01	GUT_GENOME277240	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS971701	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
840	MGYG000215655	2186024	199	17337	59.16	90.27	2.01	GUT_GENOME117213	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS396372	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
846	MGYG000218098	2311763	192	17752	61.37	90.28	4.03	GUT_GENOME022365	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444479	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
848	MGYG000218997	2299831	296	11797	59.28	91.84	2.41	GUT_GENOME014882	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS476185	SRP029441	Fiji	Oceania	Human	gut	NA	High	yes	sp000432135
849	MGYG000219241	2905460	118	38335	58.03	93.76	2.18	GUT_GENOME056419	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396373	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000432135
850	MGYG000219944	2523064	247	16089	59.78	94.55	2.35	GUT_GENOME217979	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SRS1170693	SRP066479	Peru	South America	Human	gut	NA	High	yes	sp900548625
851	MGYG000219990	2812667	281	14726	58.33	95.47	3.58	GUT_GENOME211458	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1914216	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
854	MGYG000221695	2140053	94	37717	59.8	91.02	2.07	GUT_GENOME123771	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS1138846	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000436735
862	MGYG000223968	2544528	190	21582	58.65	92.62	2.01	GUT_GENOME209475	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1905639	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
864	MGYG000224482	2222521	86	38720	57.09	91.16	2.01	GUT_GENOME046877	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	ERS1343404	ERP017091	China	Asia	Human	gut	NA	High	yes	sp900549635
867	MGYG000225681	2065402	151	21515	57.39	90.1	1.45	GUT_GENOME130824	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	SRS1993545	SRP100446	USA	North America	Human	gut	NA	High	yes	sp003516765
869	MGYG000226237	2189665	240	12442	61.9	90.06	3.83	GUT_GENOME026372	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444610	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
871	MGYG000226833	2263882	98	36881	59.17	94.04	1.34	GUT_GENOME115142	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS396304	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp900548625
873	MGYG000227089	2814778	145	30873	58.2	92.28	2.35	GUT_GENOME084182	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS537311	ERP006678	China	Asia	Human	gut	NA	High	yes	sp000432135
874	MGYG000227305	3376921	44	202477	55.5	93.96	1.01	GUT_GENOME254300	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746893	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
876	MGYG000228318	2548085	277	14481	60.07	93.71	2.58	GUT_GENOME109766	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS328855	ERP003612	Denmark	Europe	Human	gut	NA	High	yes	sp002404795
878	MGYG000228381	2348892	259	12003	59.15	90.27	2.18	GUT_GENOME265196	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972446	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
881	MGYG000229430	2329756	179	20301	61.14	90.25	4.55	GUT_GENOME165137	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576042	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
882	MGYG000229831	2854019	170	28516	58.13	93.72	2.24	GUT_GENOME154409	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS475178	ERP005860	China	Asia	Human	gut	NA	High	yes	sp000432135
883	MGYG000229863	2530042	204	41916	59.15	94.63	2.33	GUT_GENOME222388	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	SRS1596870	SRP080787	China	Asia	Human	gut	NA	High	yes	sp900548625
884	MGYG000230571	2271271	107	34187	59.05	91.11	3.1	GUT_GENOME193913	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1820528	SRP093965	USA	North America	Human	gut	NA	High	yes	sp000432135
889	MGYG000232841	3042879	114	61009	57.69	94.63	1.34	GUT_GENOME208381	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1905985	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
890	MGYG000232881	3276764	85	82193	56.98	92.62	2.01	GUT_GENOME262038	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
891	MGYG000233760	2972854	210	26630	56.23	92.85	3.79	GUT_GENOME254620	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746848	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
892	MGYG000234016	3148862	220	25241	58.02	90.22	1.01	GUT_GENOME116858	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS396360	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp000436735
894	MGYG000234931	2444588	101	39163	58.9	93.04	1.34	GUT_GENOME258917	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746811	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
897	MGYG000235235	2568134	80	52741	58.68	91.61	1.34	GUT_GENOME270568	MGYG000004248	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000436735	ERS971955	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000436735
898	MGYG000235380	2463389	377	9366	59.22	90.21	4.96	GUT_GENOME281707	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS953826	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
906	MGYG000237241	2281723	173	21440	61.4	92.43	1.24	GUT_GENOME285400	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS436684	ERP005534	France	Europe	Human	gut	NA	High	yes	sp002404795
912	MGYG000239219	2993976	217	25839	55.98	92.75	2.51	GUT_GENOME256259	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746782	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
913	MGYG000239319	2876022	50	107618	57.79	91.28	2.68	GUT_GENOME248622	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1846822	SRP094805	China	Asia	Human	gut	NA	High	yes	sp000432135
920	MGYG000242192	3530921	224	37654	56.87	94.63	4.03	GUT_GENOME153952	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS475142	ERP005860	China	Asia	Human	gut	NA	High	yes	sp000432135
924	MGYG000243034	2842613	136	34659	56.16	94.04	1.01	GUT_GENOME265757	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS971760	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp900545925
925	MGYG000243113	2872541	382	10365	58.12	92.59	4.7	GUT_GENOME154281	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS475168	ERP005860	China	Asia	Human	gut	NA	High	yes	sp000432135
930	MGYG000244760	2519497	231	14629	60.57	92.28	1.73	GUT_GENOME047786	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1647284	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp002404795
931	MGYG000245060	2163802	186	17534	57.14	92.95	1.68	GUT_GENOME008051	MGYG000000369	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp003516765	ERS554192	ERP007090	Sweden	Europe	Human	gut	NA	High	yes	sp003516765
935	MGYG000245630	2624385	140	36987	58.88	92.62	2.68	GUT_GENOME082764	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS537262	ERP006678	China	Asia	Human	gut	NA	High	yes	sp000432135
936	MGYG000246552	3136491	159	37402	55.56	92.62	1.01	GUT_GENOME116324	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS396342	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp900545925
941	MGYG000248447	2985882	115	45295	57.84	91.28	3.36	GUT_GENOME261555	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
943	MGYG000248864	3176206	144	36838	55.96	93.23	2.68	GUT_GENOME282818	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS436667	ERP005534	France	Europe	Human	gut	NA	High	yes	sp900545925
947	MGYG000250523	2935264	87	55063	57.73	91.95	1.68	GUT_GENOME121948	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396523	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp000432135
952	MGYG000251978	2257252	105	33814	61.15	92.21	1.34	GUT_GENOME025265	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS1444575	ERP019502	Kazakhstan	Asia	Human	gut	NA	High	yes	sp002404795
956	MGYG000252131	2344382	244	14001	61.21	90.92	1.44	GUT_GENOME115750	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	ERS396323	ERP004605	Denmark	Europe	Human	gut	NA	High	yes	sp002404795
959	MGYG000253078	3179633	155	43103	55.58	93.29	1.68	GUT_GENOME258187	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746803	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
960	MGYG000253232	2793827	207	19317	60.03	92.97	3.02	GUT_GENOME164747	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS576034	SRP040146	USA	North America	Human	gut	NA	High	yes	sp002404795
964	MGYG000255211	3263970	130	45614	57.43	95.3	3.08	GUT_GENOME047439	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1647331	ERP019674	Germany	Europe	Human	gut	NA	High	yes	sp000432135
967	MGYG000256246	2715433	92	59076	58.16	94.63	2.01	GUT_GENOME275889	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS972202	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp000432135
969	MGYG000256769	2512446	165	24689	60.75	91.28	0.75	GUT_GENOME096908	MGYG000000651	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp002404795	SRS584971	SRP040765	USA	North America	Human	gut	NA	High	yes	sp002404795
970	MGYG000257101	2417059	73	56080	58.46	91.48	2.01	GUT_GENOME208220	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS1914281	SRP096283	USA	North America	Human	gut	NA	High	yes	sp000432135
972	MGYG000257281	2492410	82	46042	58.56	91.61	1.68	GUT_GENOME039599	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1066672	ERP013933	USA	North America	Human	gut	NA	High	yes	sp000432135
973	MGYG000257409	2628217	96	45908	58.43	91.95	1.36	GUT_GENOME125504	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS1138742	ERP015450	China	Asia	Human	gut	NA	High	yes	sp000432135
976	MGYG000257834	2404245	216	19076	58.54	91.77	2.35	GUT_GENOME119507	MGYG000000741	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900548625	ERS396446	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp900548625
980	MGYG000258606	3057342	271	16322	57.5	91.95	3.51	GUT_GENOME157486	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS883067	SRP056480	Italy	Europe	Human	gut	NA	High	yes	sp000432135
982	MGYG000259300	2795518	309	11729	58.19	90.56	1.68	GUT_GENOME236279	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	SRS476154	SRP029441	Fiji	Oceania	Human	gut	NA	High	yes	sp000432135
989	MGYG000261971	3395743	146	53674	57.19	92.62	3.26	GUT_GENOME255887	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746946	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
996	MGYG000264144	2734805	57	80070	58.05	92.95	1.34	GUT_GENOME251719	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS746720	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp000432135
1000	MGYG000265197	2882009	247	18458	57.86	90.84	2.01	GUT_GENOME262247	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	-	-	China	Asia	Human	gut	NA	High	yes	sp000432135
1001	MGYG000265303	2502749	141	25398	56.63	93.29	4.94	GUT_GENOME175516	MGYG000002710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900549635	SRS1158761	SRP066053	USA	North America	Human	gut	NA	High	yes	sp900549635
1003	MGYG000265618	2533986	186	21478	58.63	92.71	2.01	GUT_GENOME138109	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS199364	ERP002061	Spain	Europe	Human	gut	NA	High	yes	sp000432135
1004	MGYG000265779	3089720	140	38545	55.97	92.62	1.85	GUT_GENOME277696	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS972305	ERP012929	Israel	Asia	Human	gut	NA	High	yes	sp900545925
1005	MGYG000266035	3408093	83	78855	55.66	94.63	1.68	GUT_GENOME065883	MGYG000000370	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp900545925	ERS746718	ERP010700	UK	Europe	Human	gut	NA	High	yes	sp900545925
1006	MGYG000266240	2471532	166	31403	59.13	90.6	1.34	GUT_GENOME074854	MGYG000002993	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;s__CAG-170_sp000432135	ERS396517	ERP004605	Spain	Europe	Human	gut	NA	High	yes	sp000432135
